Date,Gold,Bitcoin,Oil,S&P 500
2022-01-12,1827.2,43949.102,82.64,4726.35
2022-01-13,1821.2,42591.57,82.12,4659.03
2022-01-14,1816.5,43099.699,83.82,4662.85
2022-01-18,1812.3,42375.633,85.43,4577.11
2022-01-19,1843.1,41744.328,86.96,4532.76
2022-01-20,1842.5,40680.418,86.9,4482.73
2022-01-21,1831.8,36457.316,85.14,4397.94
2022-01-24,1841.7,36654.328,83.31,4410.13
2022-01-25,1852.7,36954.004,85.6,4356.45
2022-01-26,1829.9,36852.121,87.35,4349.93
2022-01-27,1793.3,37138.234,86.61,4326.51
2022-01-28,1784.9,37784.332,86.82,4431.85
2022-01-31,1795.0,38483.125,88.15,4515.55
2022-02-01,1800.3,38743.273,88.2,4546.54
2022-02-02,1809.2,36952.984,88.26,4589.38
2022-02-03,1803.0,37154.602,90.27,4477.44
2022-02-04,1806.6,41500.875,92.31,4500.53
2022-02-07,1820.6,43840.285,91.32,4483.87
2022-02-08,1826.6,44118.445,89.36,4521.54
2022-02-09,1835.2,44338.797,89.66,4587.18
2022-02-10,1836.2,43565.113,89.88,4504.08
2022-02-11,1840.8,42407.938,93.1,4418.64
2022-02-14,1868.0,42586.918,95.46,4401.67
2022-02-15,1854.8,44575.203,92.07,4471.07
2022-02-16,1870.2,43961.859,93.66,4475.01
2022-02-17,1900.7,40538.012,91.76,4380.26
2022-02-18,1898.6,40030.977,91.07,4348.87
2022-02-22,1906.1,38286.027,92.35,4304.76
2022-02-23,1909.2,37296.57,92.1,4225.5
2022-02-24,1925.1,38332.609,92.81,4288.7
2022-02-25,1886.5,39214.219,91.59,4384.65
2022-02-28,1899.4,43193.234,95.72,4373.94
2022-03-01,1942.4,44354.637,103.41,4306.26
2022-03-02,1920.9,43924.117,110.6,4386.54
2022-03-03,1934.4,42451.789,107.67,4363.49
2022-03-04,1965.1,39137.605,115.68,4328.87
2022-03-07,1993.9,38062.039,119.4,4201.09
2022-03-08,2040.1,38737.27,123.7,4170.7
2022-03-09,1985.9,41982.926,108.7,4277.88
2022-03-10,1998.1,39437.461,106.02,4259.52
2022-03-11,1982.7,38794.973,109.33,4204.31
2022-03-14,1959.6,39666.754,103.01,4173.11
2022-03-15,1928.5,39338.785,96.44,4262.45
2022-03-16,1908.0,41143.93,95.04,4357.86
2022-03-17,1942.1,40951.379,102.98,4411.67
2022-03-18,1928.2,41801.156,104.7,4463.12
2022-03-21,1928.6,41077.996,112.12,4461.18
2022-03-22,1920.7,42358.809,111.76,4511.61
2022-03-23,1936.6,42892.957,114.93,4456.24
2022-03-24,1961.6,43960.934,112.34,4520.16
2022-03-25,1953.8,44348.73,113.9,4543.06
2022-03-28,1939.6,47128.004,105.96,4575.52
2022-03-29,1912.0,47465.73,104.24,4631.6
2022-03-30,1933.5,47062.664,107.82,4602.45
2022-03-31,1949.2,45538.676,100.28,4530.41
2022-04-01,1919.1,46281.645,99.27,4545.86
2022-04-04,1929.2,46622.676,103.28,4582.64
2022-04-05,1922.9,45555.992,101.96,4525.12
2022-04-06,1918.4,43206.738,96.23,4481.15
2022-04-07,1933.8,43503.848,96.03,4500.21
2022-04-08,1941.6,42287.664,98.26,4488.28
2022-04-11,1944.3,39521.902,94.29,4412.53
2022-04-12,1972.1,40127.184,100.6,4397.45
2022-04-13,1981.0,41166.73,104.25,4446.59
2022-04-14,1970.9,39935.516,106.95,4392.59
2022-04-18,1982.9,40826.215,108.21,4391.69
2022-04-19,1955.7,41502.75,102.56,4462.21
2022-04-20,1952.3,41374.379,102.75,4459.45
2022-04-21,1944.9,40527.363,103.79,4393.66
2022-04-22,1931.0,39740.32,102.07,4271.78
2022-04-25,1893.2,40458.309,98.54,4296.12
2022-04-26,1901.4,38117.461,101.7,4175.2
2022-04-27,1885.9,39241.121,102.02,4183.96
2022-04-28,1888.7,39773.828,105.36,4287.5
2022-04-29,1909.3,38609.824,104.69,4131.93
2022-05-02,1861.8,38529.328,105.17,4155.38
2022-05-03,1868.8,37750.453,102.41,4175.48
2022-05-04,1867.0,39698.371,107.81,4300.17
2022-05-05,1874.0,36575.141,108.26,4146.87
2022-05-06,1881.2,36040.922,109.77,4123.34
2022-05-09,1857.1,30296.953,103.09,3991.24
2022-05-10,1839.9,31022.906,99.76,4001.05
2022-05-11,1852.6,28936.355,105.71,3935.18
2022-05-12,1823.8,29047.752,106.13,3930.08
2022-05-13,1807.4,29283.104,110.49,4023.89
2022-05-16,1813.5,29862.918,114.2,4008.01
2022-05-17,1818.2,30425.857,112.4,4088.85
2022-05-18,1815.9,28720.271,109.59,3923.68
2022-05-19,1841.2,30314.334,112.21,3900.79
2022-05-20,1841.8,29200.74,113.23,3901.36
2022-05-23,1847.8,29098.91,110.29,3973.75
2022-05-24,1865.1,29655.586,109.77,3941.48
2022-05-25,1846.2,29562.361,110.33,3978.73
2022-05-26,1847.4,29267.225,114.09,4057.84
2022-05-27,1851.3,28627.574,115.07,4158.24
2022-05-31,1842.7,31792.311,114.67,4132.15
2022-06-01,1843.3,29799.08,115.26,4101.23
2022-06-02,1866.5,30467.488,116.87,4176.82
2022-06-03,1845.4,29704.391,118.87,4108.54
2022-06-06,1839.2,31370.672,118.5,4121.43
2022-06-07,1847.5,31155.479,119.41,4160.68
2022-06-08,1851.9,30214.355,122.11,4115.77
2022-06-09,1848.8,30111.998,121.51,4017.82
2022-06-10,1871.5,29083.805,120.67,3900.86
2022-06-13,1828.0,22487.389,120.93,3749.63
2022-06-14,1809.5,22206.793,118.93,3735.48
2022-06-15,1815.3,22572.84,115.31,3789.99
2022-06-16,1845.7,20381.65,117.59,3666.77
2022-06-17,1835.6,20471.482,109.56,3674.84
2022-06-21,1834.6,20710.598,110.65,3764.79
2022-06-22,1834.3,19987.029,106.19,3759.89
2022-06-23,1825.7,21085.877,104.27,3795.73
2022-06-24,1826.5,21231.656,107.62,3911.74
2022-06-27,1820.9,20735.479,109.57,3900.11
2022-06-28,1817.5,20280.635,111.76,3821.55
2022-06-29,1813.7,20104.023,109.78,3818.83
2022-06-30,1804.1,19784.727,105.76,3785.38
2022-07-01,1798.9,19269.367,108.43,3825.33
2022-07-05,1761.8,20190.115,99.5,3831.39
2022-07-06,1734.9,20548.246,98.53,3845.08
2022-07-07,1737.9,21637.588,102.73,3902.62
2022-07-08,1740.6,21731.117,104.79,3899.38
2022-07-11,1730.0,19970.557,104.09,3854.43
2022-07-12,1723.3,19323.914,95.84,3818.8
2022-07-13,1734.2,20212.074,96.3,3801.78
2022-07-14,1704.5,20569.92,95.78,3790.38
2022-07-15,1702.4,20836.328,97.59,3863.16
2022-07-18,1709.2,22485.689,102.6,3830.85
2022-07-19,1710.0,23389.434,104.22,3936.69
2022-07-20,1699.5,23231.732,102.26,3959.9
2022-07-21,1712.7,23164.629,96.35,3998.95
2022-07-22,1727.1,22714.979,94.7,3961.63
2022-07-25,1719.0,21361.701,96.7,3966.84
2022-07-26,1717.7,21239.754,94.98,3921.05
2022-07-27,1719.1,22930.549,97.26,4023.61
2022-07-28,1750.3,23843.887,96.42,4072.43
2022-07-29,1762.9,23804.633,98.62,4130.29
2022-08-01,1769.0,23314.199,93.89,4118.63
